condition,carbon_source,carbon_g/L,nitrogen_source,nitrogen_g/L,volume_L,replicate,growth_rate,time_h,dilution,OD600_raw,OD600,m_tube_empty_g,m_tube_full_g,gDCW,g_DCW_L,g_DCW_g_substrate,g_PHB,g_PHB_L,g_DCW_L_noPHB,g_DCW_g_substrate_noPHB,comment
fructose,fructose,0.50,NH4Cl,1.00,0.05,1,,48,0.500,0.261,0.522,1.00819,1.01683,0.00864,0.1728,0.3456,0.00079,0.01588,0.15692,0.31384,
fructose,fructose,0.50,NH4Cl,1.00,0.05,2,,48,0.500,0.251,0.502,1.01102,1.01937,0.00835,0.1670,0.3340,0.00021,0.00426,0.16274,0.32548,
fructose,fructose,0.50,NH4Cl,1.00,0.05,3,,48,0.500,0.245,0.490,1.01010,1.01847,0.00837,0.1674,0.3348,0.00047,0.00950,0.15790,0.31580,
fructose,fructose,0.50,NH4Cl,1.00,0.05,4,,48,0.500,0.258,0.516,1.01136,1.02005,0.00869,0.1738,0.3476,0.00066,0.01321,0.16059,0.32117,
succinate,succinate,0.50,NH4Cl,1.00,0.05,1,,48,0.500,0.214,0.428,1.00832,1.01550,0.00718,0.1436,0.2872,0.00003,0.00055,0.14305,0.28610,
succinate,succinate,0.50,NH4Cl,1.00,0.05,2,,48,0.500,0.216,0.432,1.00801,1.01523,0.00722,0.1444,0.2888,-0.00001,-0.00029,0.14469,0.28938,
succinate,succinate,0.50,NH4Cl,1.00,0.05,3,,48,0.500,0.210,0.420,1.00544,1.01242,0.00698,0.1396,0.2792,0.00016,0.00313,0.13647,0.27293,
succinate,succinate,0.50,NH4Cl,1.00,0.05,4,,48,0.500,0.229,0.458,1.00836,1.01522,0.00686,0.1372,0.2744,0.00263,0.05256,0.08464,0.16927,
formate,formate,2.00,NH4Cl,1.00,0.05,1,,48,0.500,0.135,0.270,1.00708,1.01107,0.00399,0.0798,0.0399,0.00062,0.01238,0.06742,0.03371,2x formate concentration
formate,formate,2.00,NH4Cl,1.00,0.05,2,,48,0.500,0.086,0.172,1.00876,1.01140,0.00264,0.0528,0.0264,-0.00016,-0.00325,0.05605,0.02803,2x formate concentration
formate,formate,2.00,NH4Cl,1.00,0.05,3,,48,0.500,0.145,0.290,1.00306,1.00768,0.00462,0.0924,0.0462,-0.00006,-0.00128,0.09368,0.04684,2x formate concentration
formate,formate,2.00,NH4Cl,1.00,0.05,4,,48,0.500,0.128,0.256,1.01240,1.01650,0.00410,0.0820,0.0410,0.00054,0.01078,0.07122,0.03561,2x formate concentration
ammonium WT,fructose,2.00,NH4Cl,0.05,0.05,1,,48,0.500,0.566,1.132,1.00629,1.02020,0.01391,0.2782,5.5640,0.00752,0.15034,0.12786,2.55724,2x NH4Cl concentration
ammonium WT,fructose,2.00,NH4Cl,0.05,0.05,2,,48,0.500,0.534,1.068,1.01142,1.02506,0.01364,0.2728,5.4560,0.00949,0.18983,0.08297,1.65932,2x NH4Cl concentration
ammonium PHB-,fructose,2.00,NH4Cl,0.05,0.05,1,,48,0.500,0.100,0.200,1.00839,1.01232,0.00393,0.0786,1.5720,0.00005,0.00094,0.07766,1.55312,2x NH4Cl concentration
ammonium PHB-,fructose,2.00,NH4Cl,0.05,0.05,2,,48,0.500,0.107,0.214,1.00907,1.01305,0.00398,0.0796,1.5920,0.00012,0.00246,0.07714,1.54288,2x NH4Cl concentration
