condition,carbon_source,carbon_g/L,nitrogen_source,nitrogen_g/L,volume_L,replicate,growth_rate,time_h,dilution,OD600_raw,OD600,m_tube_empty_g,m_tube_full_g,gDCW,g_DCW_L,g_DCW_g_substrate,g_PHB,g_PHB_L,g_DCW_L_noPHB,g_DCW_g_substrate_noPHB,comment
ammonium u=0.05,fructose,2,NH4Cl,0.05,0.05,1,0.05,115,0.5,0.454,0.908,1.01158,1.02318,0.0116,0.232,4.64,0.0077,0.1549,0.0771,1.54196,2x NH4Cl concentration
ammonium u=0.05,fructose,2,NH4Cl,0.05,0.05,2,0.05,115,0.5,0.459,0.918,1.00832,1.01958,0.01126,0.2252,4.504,0.0089,0.17877,0.04643,0.92855,2x NH4Cl concentration
ammonium u=0.05,fructose,2,NH4Cl,0.05,0.05,3,0.05,115,0.5,0.48,0.96,1.00636,1.01821,0.01185,0.237,4.74,0.0113,0.22564,0.01136,0.22716,2x NH4Cl concentration
ammonium u=0.05,fructose,2,NH4Cl,0.05,0.05,4,0.05,115,0.5,0.506,1.012,1.00853,1.02084,0.01231,0.2462,4.924,0.0096,0.192,0.0542,1.08407,2x NH4Cl concentration
ammonium u=0.10,fructose,2,NH4Cl,0.05,0.05,1,0.1,185,0.5,0.305,0.61,1.01104,1.01869,0.00765,0.153,3.06,0.0045,0.09044,0.06256,1.25117,2x NH4Cl concentration
ammonium u=0.10,fructose,2,NH4Cl,0.05,0.05,2,0.1,185,0.5,0.322,0.644,1.01181,1.01991,0.0081,0.162,3.24,0.0051,0.1024,0.0596,1.19197,2x NH4Cl concentration
ammonium u=0.10,fructose,2,NH4Cl,0.05,0.05,3,0.1,185,0.5,0.337,0.674,1.00639,1.01421,0.00782,0.1564,3.128,0.0052,0.10449,0.05191,1.03822,2x NH4Cl concentration
ammonium u=0.10,fructose,2,NH4Cl,0.05,0.05,4,0.1,185,0.5,0.265,0.53,1.01075,1.01901,0.00826,0.1652,3.304,0.006,0.12099,0.04421,0.88412,2x NH4Cl concentration
ammonium u=0.15,fructose,2,NH4Cl,0.05,0.05,1,0.15,235,0.5,0.224,0.448,1.01244,1.0183,0.00586,0.1172,2.344,0.0023,0.04582,0.07138,1.42756,2x NH4Cl concentration
ammonium u=0.15,fructose,2,NH4Cl,0.05,0.05,2,0.15,235,0.5,0.234,0.468,1.00535,1.01144,0.00609,0.1218,2.436,0.003,0.06,0.0618,1.23604,2x NH4Cl concentration
ammonium u=0.15,fructose,2,NH4Cl,0.05,0.05,3,0.15,235,0.5,0.247,0.494,1.00993,1.01548,0.00555,0.111,2.22,0.0026,0.05224,0.05876,1.17513,2x NH4Cl concentration
ammonium u=0.15,fructose,2,NH4Cl,0.05,0.05,4,0.15,235,0.5,0.233,0.466,1.00508,1.01129,0.00621,0.1242,2.484,0.0028,0.05662,0.06758,1.35164,2x NH4Cl concentration
ammonium u=0.20,fructose,2,NH4Cl,0.05,0.05,1,0.2,258,0.5,0.183,0.366,1.00922,1.01409,0.00487,0.0974,1.948,0.0019,0.03895,0.05845,1.16899,2x NH4Cl concentration
ammonium u=0.20,fructose,2,NH4Cl,0.05,0.05,2,0.2,258,0.5,0.148,0.296,1.01004,1.01594,0.0059,0.118,2.36,0.0018,0.03579,0.08221,1.64411,2x NH4Cl concentration
ammonium u=0.20,fructose,2,NH4Cl,0.05,0.05,3,0.2,258,0.5,0.182,0.364,1.00859,1.01329,0.0047,0.094,1.88,0.0014,0.02817,0.06583,1.31664,2x NH4Cl concentration
ammonium u=0.20,fructose,2,NH4Cl,0.05,0.05,4,0.2,258,0.5,0.181,0.362,1.00453,1.00911,0.00458,0.0916,1.832,0.0013,0.02699,0.06461,1.29216,2x NH4Cl concentration
ammonium u=0.25,fructose,2,NH4Cl,0.05,0.05,1,0.25,282,0.5,0.145,0.29,1.00847,1.01267,0.0042,0.084,1.68,0.0004,0.0087,0.0753,1.50591,2x NH4Cl concentration
ammonium u=0.25,fructose,2,NH4Cl,0.05,0.05,2,0.25,282,0.5,0.154,0.308,1.01078,1.01515,0.00437,0.0874,1.748,0.0004,0.00809,0.07931,1.58613,2x NH4Cl concentration
ammonium u=0.25,fructose,2,NH4Cl,0.05,0.05,3,0.25,282,0.5,0.148,0.296,1.01232,1.01619,0.00387,0.0774,1.548,0.0006,0.01171,0.06569,1.31385,2x NH4Cl concentration
ammonium u=0.25,fructose,2,NH4Cl,0.05,0.05,4,0.25,282,0.5,0.145,0.29,1.00635,1.01044,0.00409,0.0818,1.636,0.0005,0.00997,0.07183,1.43663,2x NH4Cl concentration
