carbon_source,carbon_conc,nitrogen_source,nitrogen_conc,substrate_TR,substrate_MW,substrate_uptake
M_fru,2.000,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,1.600,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,1.280,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,1.024,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.819,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.655,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.524,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.419,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.336,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.268,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.215,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.172,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.137,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.110,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.088,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.070,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.056,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.045,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.036,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.029,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.026,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.023,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.021,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.019,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.017,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.015,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.014,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.012,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.011,M_nh4,1.000,R_FRUabc,0.18016,
M_fru,0.010,M_nh4,1.000,R_FRUabc,0.18016,
M_succ,2.000,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,1.600,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,1.280,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,1.024,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.819,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.655,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.524,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.419,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.336,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.268,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.215,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.172,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.137,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.110,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.088,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.070,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.056,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.045,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.036,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.029,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.026,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.023,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.021,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.019,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.017,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.015,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.014,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.012,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.011,M_nh4,1.000,R_SUCCt2r,0.11809,
M_succ,0.010,M_nh4,1.000,R_SUCCt2r,0.11809,
M_for,2.000,M_nh4,1.000,R_FORt,0.04603,
M_for,1.600,M_nh4,1.000,R_FORt,0.04603,
M_for,1.280,M_nh4,1.000,R_FORt,0.04603,
M_for,1.024,M_nh4,1.000,R_FORt,0.04603,
