locus_tag,gene_name,COG_Process,tstat_median,continuous,short pulse,long pulse
H16_A0010,H16_A0010,Function unknown,-4.078275946777406,-5.991749274623425,-4.189226876221641,-3.889837655524098
H16_A0211,metXS H16_A0211,Amino acid transport and metabolism,-3.87982895289485,-4.713075095840642,-5.821649777883794,-4.345529744444449
H16_A0235,thiC H16_A0235,Coenzyme transport and metabolism,-3.5142897192272384,-5.579090642202077,-5.2012458891032285,-3.327144992181798
H16_A0246,H16_A0246,Amino acid transport and metabolism,-3.745202710708763,-5.236144525885008,-5.818262485946059,-5.804722308426932
H16_A0270,czcD1 H16_A0270,Inorganic ion transport and metabolism,-3.4644016530474415,-5.562508252823736,-5.598746643312177,-2.0222639628834784
H16_A0396,H16_A0396,Amino acid transport and metabolism,-5.318096155529534,-6.603322012035187,-7.8554298122259265,-3.8632638940842474
H16_A0427,ilvA H16_A0427,Amino acid transport and metabolism,-2.212387311157209,-3.5350259370949857,-3.5753925995134193,-3.382430219876164
H16_A0570,purE H16_A0570,Nucleotide transport and metabolism,-1.6518562904922804,-3.0376829201994644,-3.6453679836518544,-3.2539750551915483
H16_A0792,pheA H16_A0792,Amino acid transport and metabolism,-3.1809318903690906,-2.8887162808830267,-3.3646626884968756,-5.140637122183224
H16_A0795,aroA H16_A0795,Amino acid transport and metabolism,-1.3242863924716093,-2.896904304922303,-3.0169065682345204,-2.9311683340055463
H16_A1037,ilvC H16_A1037,Coenzyme transport and metabolism,-3.030197949092229,-4.962877736766936,-6.938307740252309,-6.017112658658142
H16_A1178,edd1 H16_A1178,Amino acid transport and metabolism,-2.92890882551091,-4.183389684764111,-3.871626585863296,-4.638084829695838
H16_A1373,H16_A1373,Signal transduction mechanisms,-3.1834799759565278,-4.742744092822662,-4.754084666371657,-4.704084750945607
H16_A1374,pdhA H16_A1374,Energy production and conversion,-3.845585400769976,-4.9888539890600025,-5.7428470494871124,-4.56246807748451
H16_A1483,clpP H16_A1483,"Post-translational modification, protein turnover, and chaperones",-1.3219996766688036,-2.7507317059461402,-2.3913665156207724,-2.98570079710921
H16_A1511,purL H16_A1511,Nucleotide transport and metabolism,-2.4941396620008742,-3.5113813520580646,-3.8821456936548433,-4.030726647499362
H16_A2391,cB H16_A2391,"Replication, recombination and repair",-1.886268963878004,-3.3225623418749457,-2.7413539518179117,-2.020061792143684
H16_A2606,metB metZ H16_A2606,Amino acid transport and metabolism,-2.986815118089056,-4.180823289908096,-4.5802009841899505,-4.66585200630613
H16_A2607,purF H16_A2607,Nucleotide transport and metabolism,-2.5717110256581712,-4.55807661360239,-5.6371434562622875,-4.951812112661882
H16_A2619,leuB3 leuB H16_A2619,Energy production and conversion,-3.0801245265154575,-4.573127340673208,-4.809596262438225,-4.509357122422928
H16_A2620,leuD leuD3 H16_A2620,Amino acid transport and metabolism,-2.056285940624937,-3.2562395058732188,-3.038564559591048,-2.6124893581837005
H16_A2621,leuC3 leuC H16_A2621,Coenzyme transport and metabolism,-2.2945900734308875,-3.6847677179670226,-3.1398585870101776,-3.6336069314462227
H16_A2912,pyrX H16_A2912,Nucleotide transport and metabolism,-4.050593162688459,-5.4477290515387224,-5.156220657360496,-6.260371467221163
H16_A2945,metG H16_A2945,"Translation, ribosomal structure and biogenesis",-2.765307353252285,-4.203376198171787,-6.199152865352763,-5.336031358167382
H16_A2994,cysG H16_A2994,Coenzyme transport and metabolism,-3.624352123978367,-5.855689804474369,-5.055487933696873,-5.30214188665158
H16_A2995,cysN1 H16_A2995,Coenzyme transport and metabolism,-3.167011656762639,-4.260537705480166,-4.30410769444973,-4.894757043236179
H16_A2996,cysD H16_A2996,Coenzyme transport and metabolism,-3.9308164758616186,-6.589753026581087,-3.90108024249244,-5.551819466489907
H16_A2999,cysI1 H16_A2999,Energy production and conversion,-3.0506535191551953,-4.301014762013297,-4.5859134944293825,-4.763577458448323
H16_A3001,H16_A3001,Transcription,-2.0416600104342324,-3.113523010375844,-3.743410026624457,-2.9011179152810143
H16_A3161,aroE H16_A3161,Amino acid transport and metabolism,-3.044367768967705,-5.0589209021795085,-5.734923389012115,-5.232771688127941
H16_A3170,aroQ1 aroQ H16_A3170,Amino acid transport and metabolism,-3.247315938694178,-3.4080474272796577,-3.2270022332368615,-4.903967839266687
H16_A3319,trpE H16_A3319,Amino acid transport and metabolism,-3.471904951206227,-5.022004749385722,-5.457783072129631,-5.324073250540774
H16_A3411,hisA H16_A3411,Amino acid transport and metabolism,-1.3451778856108056,-2.5471438627164,-2.9936350882386247,-2.4439449432640012
H16_A3412,hisH H16_A3412,Amino acid transport and metabolism,-2.9192853845362157,-3.604780404437453,-4.398304090931832,-4.408589096250277
H16_A3434,aroB H16_A3434,Amino acid transport and metabolism,-2.295964816860856,-3.372099382823364,-3.5164180484721537,-3.520800551116684
H16_A3435,aroL aroK H16_A3435,Nucleotide transport and metabolism,-2.7650087814423854,-2.546301125083071,-4.378540284860749,-3.4744962308472873
H16_B1213,eda H16_B1213,Carbohydrate transport and metabolism,-2.006386807255531,-4.244667367014152,-4.06474529374397,-4.5157548468842466
H16_B1498,frcA H16_B1498,Inorganic ion transport and metabolism,-2.2068287697125113,-4.259573769818619,-3.627845528819515,-3.9923509916775686
H16_B1499,frcC H16_B1499,Function unknown,-2.370402909625496,-3.810049697302049,-3.1335477985181375,-3.5457914969533704
H16_B1500,frcB H16_B1500,Carbohydrate transport and metabolism,-3.1321474643518483,-4.773450488008931,-3.012945561436641,-3.7014414194883485
H16_B1580,H16_B1580,Transcription,-3.4869430686820646,-5.456764959809595,-5.367424374514568,-4.792157510138956
H16_B1581,metE H16_B1581,Amino acid transport and metabolism,-3.4252219952674077,-5.1564194141325785,-5.42402345754791,-5.073887535807929
H16_B1792,H16_B1792,Transcription,-2.1875171316574837,-3.7741265813757523,-4.108232198093284,-3.9142652071831474
H16_B2565,pgl H16_B2565,Carbohydrate transport and metabolism,-2.5722973485605185,-3.9202285887044557,-3.829526382180633,-2.7031577876484008
