locus_tag,n_barcodes,n_barcodes_central,scaffold,begin,end,gene_strand,desc,insertion_index,insertion_probability,tn_interval,essentiality,uniprot,protein,protein_name,gene_name,length
H16_A0037,28,19,NC_008313.1,52570,53445,+,gene,1.2016763898397391,0.9669759203741071,903.5,non-essential,Q0KFN2,Q0KFN2_CUPNH,Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17),H16_A0037,291
H16_A0038,21,18,NC_008313.1,53508,54359,+,gene,1.1323119041208607,0.9430177533298003,932.2857142857143,non-essential,Q0KFN1,Q0KFN1_CUPNH,Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17),H16_A0038,283
H16_A0039,10,9,NC_008313.1,54625,55197,-,gene,0.8414045847200927,0.6458104032610759,934.7,non-essential,NA,NA,NA,NA,NA
H16_A0042,35,28,NC_008313.1,56446,57621,-,gene,1.2867055741923628,0.9936184045582898,927.1428571428571,non-essential,Q0KFM7,Q0KFM7_CUPNH,Glutathionylspermidine synthase (EC 6.3.1.8),H16_A0042,391
H16_A0044,16,13,NC_008313.1,59202,60152,-,gene,0.7247992863514718,0.4269181556484583,943.625,non-essential,Q0KFM5,HUTG_CUPNH,Formimidoylglutamase (EC 3.5.3.8) (Formiminoglutamase) (Formiminoglutamate hydrolase),hutG H16_A0044,316
H16_A0045,20,18,NC_008313.1,60149,60910,-,gene,1.2635196603659153,0.9765351134619635,935.75,non-essential,Q0KFM4,Q0KFM4_CUPNH,"ABC-type transporter, ATPase component: PAAT family (EC 3.6.3.21)",hisP H16_A0045,253
H16_A0065,14,10,NC_008313.1,79927,80535,+,gene,0.7877092155676547,0.564653523410055,1042.9285714285713,non-essential,Q0KFK4,Q0KFK4_CUPNH,Glutathione peroxidase,H16_A0065,202
H16_A0068,46,37,NC_008313.1,82131,83552,-,gene,1.248825294821549,0.9963052491564044,1041.5,non-essential,Q0KFK1,Q0KFK1_CUPNH,D-Hydantoinase,H16_A0068,473
H16_A0073,38,27,NC_008313.1,87734,88981,+,gene,1.0340002251822713,0.9233213963151934,1047.3157894736842,non-essential,Q0KFJ6,Q0KFJ6_CUPNH,"Putative peptidase, M20D subfamily (EC 3.4.17.-)",H16_A0073,415
H16_A0100,11,10,NC_008313.1,112722,113495,+,gene,0.7477809600011965,0.4958232030732548,864.8181818181819,non-essential,Q0KFG9,Q0KFG9_CUPNH,Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17),H16_A0100,260
H16_A0101,63,54,NC_008313.1,113551,115905,+,gene,1.3275276125743416,0.9998445224295724,865.063492063492,non-essential,Q0KFG8,Q0KFG8_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),H16_A0101,784
H16_A0108,0,0,NC_008313.1,121158,122615,NA,gene,0,1.7428231169653932e-9,855,essential,Q0KFG1,GATB_CUPNH,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-),gatB H16_A0108,485
H16_A0111,3,0,NC_008313.1,124288,125793,-,gene,0,2.3014531168070928e-9,816,essential,Q0KFF8,GATA_CUPNH,Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7),gatA H16_A0111,501
H16_A0112,0,0,NC_008313.1,125886,126185,NA,gene,0,0.0197875445166613,818,essential,Q0KFF7,GATC_CUPNH,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-),gatC H16_A0112,99
H16_A0124,22,15,NC_008313.1,138663,139310,+,gene,1.4179776442864553,0.9874418720909347,815.2727272727273,non-essential,Q0KFE5,Q0KFE5_CUPNH,Allophanate hydrolase subunit 1 (EC 3.5.1.54),H16_A0124,215
H16_A0125,22,20,NC_008313.1,139307,140326,+,gene,1.2055949249276041,0.9712741607040771,813.3636363636364,non-essential,Q0KFE4,Q0KFE4_CUPNH,Allophanate hydrolase subunit 2 (EC 3.5.1.54),H16_A0125,339
H16_A0135,4,1,NC_008313.1,148658,149539,+,gene,0.07248236141734908,1.8142412566780607e-4,783,essential,Q0KFD4,Q0KFD4_CUPNH,Biotin-(Acetyl-CoA carboxylase) ligase (EC 6.3.4.15),birA H16_A0135,307
H16_A0136,1,0,NC_008313.1,149536,150378,+,gene,0,5.2727453515079295e-6,896,essential,Q0KFD3,Q0KFD3_CUPNH,Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase),coaX H16_A0136,280
H16_A0142,36,33,NC_008313.1,155597,156430,-,gene,2.22560934486154,0.99999991174373,888.9444444444445,non-essential,Q0KFC7,Q0KFC7_CUPNH,Enoyl-CoA hydratase (EC 4.2.1.17),H16_A0142,277
H16_A0143,37,34,NC_008313.1,156550,157530,-,gene,1.9734856399897844,0.9999990652889943,879.1351351351351,non-essential,Q0KFC6,Q0KFC6_CUPNH,2-Oxopent-4-enoate hydratase (EC 4.2.1.80),mhpD2 H16_A0143,326
H16_A0147,38,35,NC_008313.1,160727,161569,+,gene,2.3591200886489925,0.999999990541853,881.2105263157895,non-essential,Q0KFC2,Q0KFC2_CUPNH,Predicted hydrolase or acyltransferase (Alpha/beta hydrolase superfamily),H16_A0147,280
